X,Y,yaw,K,s,type
605,500,-2.582993338,0,0,0
600.7600085,497.3500053,-2.582993338,0,5,0
596.520017,494.7000106,-2.582993338,0,10,0
592.2800254,492.0500159,-2.582993338,0,15,0
588.0400339,489.4000212,-2.582993338,0,20,0
583.8000424,486.7500265,-2.582993338,0,25,0
579.5600509,484.1000318,-2.582993338,0,30,0
575.3200594,481.4500371,-2.582993338,0,35,0
571.0800678,478.8000424,-2.582993338,0,40,0
566.8400763,476.1500477,-2.582993338,0,45,0
562.6000848,473.500053,-2.582993338,0,50,0
558.3600933,470.8500583,-2.582993338,0,55,0
554.1201018,468.2000636,-2.582993338,0,60,0
549.8801102,465.5500689,-2.582993338,0,65,0
545.6401187,462.9000742,-2.582993338,0,70,0
541.4001272,460.2500795,-2.582993338,0,75,1
537.1601357,457.6000848,-2.582993338,0,80,1
532.9201442,454.9500901,-2.582993338,0,85,1
528.6801526,452.3000954,-2.582993338,0,90,1
524.4401611,449.6501007,-2.582993338,0,95,1
520.2001696,447.000106,-2.582993338,0,100,1
515.9601781,444.3501113,-2.582993338,0,105,1
511.7201866,441.7001166,-2.582993338,0,110,1
507.480195,439.0501219,-2.582993338,0,115,1
503.2402035,436.4001272,-2.582993338,0,120,1
499.000212,433.7501325,-2.582993338,0,125,0
494.7602205,431.1001378,-2.582993338,0,130,0
490.520229,428.4501431,-2.582993338,0,135,0
486.2802374,425.8001484,-2.582993338,0,140,0
482.0402459,423.1501537,-2.582993338,0,145,0
477.8002544,420.500159,-2.582993338,0,150,0
473.5602629,417.8501643,-2.582993338,0,155,0
469.3202714,415.2001696,-2.582993338,0,160,0
465.0802798,412.5501749,-2.582993338,0,165,0
460.8402883,409.9001802,-2.582993338,0,170,0
456.6002968,407.2501855,-2.582993338,0,175,0
452.3603053,404.6001908,-2.582993338,0,180,0
448.1203138,401.9501961,-2.582993338,0,185,0
443.8803222,399.3002014,-2.582993338,0,190,0
439.6403307,396.6502067,-2.582993338,0,195,2
435.4003392,394.000212,-2.582993338,0,200,2
431.1603477,391.3502173,-2.582993338,0,205,2
426.9203562,388.7002226,-2.582993338,0,210,2
422.6803646,386.0502279,-2.582993338,0,215,2
418.4403731,383.4002332,-2.582993338,0,220,2
414.2003816,380.7502385,-2.582993338,0,225,2
409.9603901,378.1002438,-2.582993338,0,230,2
405.7203986,375.4502491,-2.582993338,0,235,2
401.480407,372.8002544,-2.582993338,0,240,2
397.2404155,370.1502597,-2.582993338,0,245,0
393.000424,367.500265,-2.582993338,0,250,0
388.7604325,364.8502703,-2.582993338,0,255,0
384.520441,362.2002756,-2.582993338,0,260,0
380.2804494,359.5502809,-2.582993338,0,265,0
376.0404579,356.9002862,-2.582993338,0,270,0
371.8004664,354.2502915,-2.582993338,0,275,0
367.5604749,351.6002968,-2.582993338,0,280,0
363.3204834,348.9503021,-2.582993338,0,285,0
359.0804918,346.3003074,-2.582993338,0,290,0
354.8405003,343.6503127,-2.582993338,0,295,0
350.6005088,341.000318,-2.582993338,0,300,0
346.3605173,338.3503233,-2.582993338,0,305,0
342.1205258,335.7003286,-2.582993338,0,310,0
