X,Y,yaw,K,s,type
609,490,-2.628717206,0,0,0
604.6433141,487.5465762,-2.628717206,0,5,0
600.2866283,485.0931524,-2.628717206,0,10,0
595.9299424,482.6397287,-2.628717206,0,15,0
591.5732565,480.1863049,-2.628717206,0,20,0
587.2165707,477.7328811,-2.628717206,0,25,0
582.8598848,475.2794573,-2.628717206,0,30,0
578.5031989,472.8260335,-2.628717206,0,35,0
574.1465131,470.3726097,-2.628717206,0,40,0
569.7898272,467.919186,-2.628717206,0,45,1
565.4331413,465.4657622,-2.628717206,0,50,1
561.0764555,463.0123384,-2.628717206,0,55,1
556.7197696,460.5589146,-2.628717206,0,60,1
552.3630837,458.1054908,-2.628717206,0,65,1
548.0063979,455.6520671,-2.628717206,0,70,1
543.649712,453.1986433,-2.628717206,0,75,1
539.2930261,450.7452195,-2.628717206,0,80,1
534.9363403,448.2917957,-2.628717206,0,85,1
530.5796544,445.8383719,-2.628717206,0,90,1
526.2229685,443.3849481,-2.628717206,0,95,0
521.8662827,440.9315244,-2.628717206,0,100,0
517.5095968,438.4781006,-2.628717206,0,105,0
513.1529109,436.0246768,-2.628717206,0,110,0
508.7962251,433.571253,-2.628717206,0,115,0
504.4395392,431.1178292,-2.628717206,0,120,0
500.0828533,428.6644055,-2.628717206,0,125,0
495.7261675,426.2109817,-2.628717206,0,130,0
491.3694816,423.7575579,-2.628717206,0,135,0
487.0127957,421.3041341,-2.628717206,0,140,0
482.6561098,418.8507103,-2.628717206,0,145,0
478.299424,416.3972865,-2.628717206,0,150,0
473.9427381,413.9438628,-2.628717206,0,155,0
469.5860522,411.490439,-2.628717206,0,160,0
465.2293664,409.0370152,-2.628717206,0,165,0
460.8726805,406.5835914,-2.628717206,0,170,0
456.5159946,404.1301676,-2.628717206,0,175,0
452.1593088,401.6767439,-2.628717206,0,180,0
447.8026229,399.2233201,-2.628717206,0,185,0
443.445937,396.7698963,-2.628717206,0,190,0
439.0892512,394.3164725,-2.628717206,0,195,2
434.7325653,391.8630487,-2.628717206,0,200,2
430.3758794,389.4096249,-2.628717206,0,205,2
426.0191936,386.9562012,-2.628717206,0,210,2
421.6625077,384.5027774,-2.628717206,0,215,2
417.3058218,382.0493536,-2.628717206,0,220,2
412.949136,379.5959298,-2.628717206,0,225,2
408.5924501,377.142506,-2.628717206,0,230,2
404.2357642,374.6890822,-2.628717206,0,235,2
399.8790784,372.2356585,-2.628717206,0,240,2
395.5223925,369.7822347,-2.628717206,0,245,0
391.1657066,367.3288109,-2.628717206,0,250,0
386.8090208,364.8753871,-2.628717206,0,255,0
382.4523349,362.4219633,-2.628717206,0,260,0
378.095649,359.9685396,-2.628717206,0,265,0
373.7389632,357.5151158,-2.628717206,0,270,0
369.3822773,355.061692,-2.628717206,0,275,0
365.0255914,352.6082682,-2.628717206,0,280,0
