X,Y,yaw,K,s
525.0,534.0,-1.5707963267948966,0.0,0.0
525.0,514.0,-1.5707963267948966,0.0,20.0
525.0,494.0,-1.5707963267948966,0.0,40.0
525.0,474.0,-1.5707963267948966,0.0,60.0
525.0,454.0,-1.8157749899217608,-9.631424545235006e-19,80.0
515.0,444.0,3.141592653589793,-0.0,100.0
495.0,444.0,3.141592653589793,-0.0,120.0
475.0,444.0,3.141592653589793,-0.0,140.0
455.0,444.0,3.141592653589793,-0.0,160.0
435.0,444.0,2.896613990462929,-9.631424545235006e-19,180.0
425.0,454.0,1.5707963267948966,0.0,200.0
425.0,474.0,1.5707963267948966,0.0,220.0
425.0,494.0,1.5707963267948966,0.0,240.0
425.0,514.0,1.5707963267948966,0.0,260.0
425.0,534.0,1.3258176636680326,-9.631424545235006e-19,280.0
435.0,544.0,0.0,0.0,300.0
455.0,544.0,0.0,0.0,320.0
475.0,544.0,0.0,0.0,340.0
495.0,544.0,0.0,0.0,360.0
