(150, ',', 0, ',', 0, ',', 0.2840268611907959)
(150, ',', 0, ',', 200, ',', 0.4907088279724121)
(150, ',', 0, ',', 200, ',', 0.6841158866882324)
(150, ',', 0, ',', 200, ',', 0.8853998184204102)
(150, ',', 0, ',', 200, ',', 1.0821568965911865)
(150, ',', 0, ',', 200, ',', 1.284733772277832)
(150, ',', 0, ',', 200, ',', 1.4901008605957031)
(150, ',', 0, ',', 200, ',', 1.6851329803466797)
(150, ',', 0, ',', 200, ',', 1.9161629676818848)
(150, ',', 0, ',', 200, ',', 2.0860049724578857)
(150, ',', 0, ',', 200, ',', 2.2850229740142822)
(150, ',', 0, ',', 200, ',', 2.4903337955474854)
(150, ',', 0, ',', 200, ',', 2.88086199760437)
(150, ',', 0, ',', 200, ',', 3.083988904953003)
(150, ',', 0, ',', 200, ',', 3.284390926361084)
(150, ',', 0, ',', 200, ',', 3.4900717735290527)
(150, ',', 0, ',', 200, ',', 3.683375835418701)
(150, ',', 0, ',', 200, ',', 3.9154298305511475)
(150, ',', 0, ',', 200, ',', 4.085281848907471)
(150, ',', 0, ',', 200, ',', 4.284103870391846)
(150, ',', 0, ',', 200, ',', 4.489596843719482)
(150, ',', 0, ',', 200, ',', 4.680598974227905)
(150, ',', 0, ',', 200, ',', 4.8848559856414795)
(150, ',', 0, ',', 200, ',', 5.085173845291138)
(150, ',', 0, ',', 200, ',', 5.284224987030029)
(150, ',', 0, ',', 200, ',', 5.487898826599121)
(150, ',', 0, ',', 200, ',', 5.690621852874756)
(150, ',', 0, ',', 200, ',', 5.916785001754761)
(150, ',', 6, ',', 200, ',', 6.0857648849487305)
(150, ',', 18, ',', 200, ',', 6.292981863021851)
(150, ',', 31, ',', 200, ',', 6.485025882720947)
(150, ',', 37, ',', 200, ',', 6.682590961456299)
(150, ',', 55, ',', 200, ',', 6.892910003662109)
(150, ',', 68, ',', 200, ',', 7.086213827133179)
(150, ',', 74, ',', 200, ',', 7.282942771911621)
(150, ',', 74, ',', 200, ',', 7.489090919494629)
(150, ',', 99, ',', 200, ',', 7.922651767730713)
(150, ',', 111, ',', 200, ',', 8.086204767227173)
(150, ',', 111, ',', 200, ',', 8.280563831329346)
(150, ',', 124, ',', 200, ',', 8.490478992462158)
(150, ',', 130, ',', 200, ',', 8.693038940429688)
(150, ',', 130, ',', 200, ',', 8.88530683517456)
(150, ',', 142, ',', 200, ',', 9.084970951080322)
(150, ',', 142, ',', 200, ',', 9.285529851913452)
(150, ',', 149, ',', 200, ',', 9.489941835403442)
(150, ',', 149, ',', 150, ',', 9.684011936187744)
(150, ',', 149, ',', 200, ',', 9.91589879989624)
(150, ',', 155, ',', 200, ',', 10.080253839492798)
(150, ',', 161, ',', 150, ',', 10.283280849456787)
(150, ',', 155, ',', 150, ',', 10.488538980484009)
(150, ',', 161, ',', 150, ',', 10.685642004013062)
(150, ',', 155, ',', 150, ',', 10.884337902069092)
(150, ',', 155, ',', 150, ',', 11.084495782852173)
(150, ',', 161, ',', 150, ',', 11.283657789230347)
(150, ',', 161, ',', 150, ',', 11.486790895462036)
(150, ',', 161, ',', 150, ',', 11.685298919677734)
(150, ',', 155, ',', 150, ',', 11.906046867370605)
(150, ',', 155, ',', 150, ',', 12.08900785446167)
(150, ',', 155, ',', 150, ',', 12.287182807922363)
(150, ',', 149, ',', 150, ',', 12.494152784347534)
(150, ',', 149, ',', 150, ',', 12.68640398979187)
(150, ',', 155, ',', 150, ',', 12.885064840316772)
(150, ',', 155, ',', 150, ',', 13.08604383468628)
(150, ',', 149, ',', 150, ',', 13.283907890319824)
(150, ',', 149, ',', 150, ',', 13.489033937454224)
(150, ',', 142, ',', 150, ',', 13.687007904052734)
(150, ',', 142, ',', 150, ',', 13.899310827255249)
(150, ',', 142, ',', 150, ',', 14.085423946380615)
(150, ',', 149, ',', 150, ',', 14.285025835037231)
(150, ',', 142, ',', 150, ',', 14.489811897277832)
(150, ',', 142, ',', 150, ',', 14.691945791244507)
(8.0, ',', 136, ',', 150, ',', 14.885387897491455)
(8.0, ',', 136, ',', 0, ',', 15.283775806427002)
(8.0, ',', 142, ',', 0, ',', 15.48512077331543)
(8.0, ',', 142, ',', 0, ',', 15.683418989181519)
(8.0, ',', 136, ',', 0, ',', 15.92328691482544)
(8.0, ',', 142, ',', 0, ',', 16.084335803985596)
(8.0, ',', 142, ',', 0, ',', 16.283520936965942)
(8.0, ',', 142, ',', 0, ',', 16.48900580406189)
(150, ',', 142, ',', 0, ',', 16.68458080291748)
(150, ',', 142, ',', 150, ',', 16.890944957733154)
(150, ',', 142, ',', 150, ',', 17.086309909820557)
(150, ',', 136, ',', 150, ',', 17.278955936431885)
(150, ',', 142, ',', 150, ',', 17.482311964035034)
(150, ',', 136, ',', 150, ',', 17.690525770187378)
(150, ',', 136, ',', 150, ',', 17.913661003112793)
(150, ',', 130, ',', 150, ',', 18.089858770370483)
(150, ',', 130, ',', 150, ',', 18.28232979774475)
