X,Y
538.144,195.711
538.146,195.81
538.149,195.91
538.151,196.01
538.153,196.11
538.155,196.21
538.157,196.31
538.159,196.41
538.161,196.51
538.163,196.61
538.165,196.71
538.167,196.81
538.169,196.91
538.171,197.01
538.173,197.11
538.174,197.21
538.176,197.31
538.178,197.41
538.18,197.51
538.183,197.61
538.185,197.71
538.188,197.81
538.19,197.91
538.193,198.01
538.196,198.11
538.199,198.21
538.202,198.31
538.204,198.41
538.207,198.51
538.21,198.61
538.213,198.71
538.216,198.81
538.219,198.91
538.221,199.01
538.224,199.11
538.227,199.21
538.229,199.309
538.232,199.409
538.235,199.509
538.237,199.609
538.24,199.709
538.243,199.809
538.245,199.909
538.248,200.009
538.251,200.109
538.253,200.209
538.256,200.309
538.258,200.409
538.261,200.509
538.264,200.609
538.266,200.709
538.269,200.809
538.271,200.909
538.274,201.009
538.277,201.109
538.279,201.209
538.282,201.309
538.284,201.409
538.287,201.509
538.289,201.609
538.292,201.709
538.294,201.809
538.297,201.909
538.299,202.009
538.302,202.109
538.305,202.209
538.307,202.308
538.31,202.408
538.312,202.508
538.315,202.608
538.318,202.708
538.321,202.808
538.323,202.908
538.326,203.008
538.329,203.108
538.332,203.208
538.334,203.308
538.337,203.408
538.34,203.508
538.343,203.608
538.345,203.708
538.348,203.808
538.351,203.908
538.354,204.008
538.356,204.108
538.359,204.208
538.362,204.308
538.365,204.408
538.368,204.508
538.371,204.608
538.374,204.708
538.377,204.807
538.38,204.907
538.383,205.007
538.386,205.107
538.389,205.207
538.392,205.307
538.395,205.407
538.398,205.507
538.401,205.607
538.404,205.707
538.406,205.807
538.409,205.907
538.412,206.007
538.414,206.107
538.417,206.207
538.419,206.307
538.422,206.407
538.424,206.507
538.427,206.607
538.43,206.707
538.432,206.807
538.435,206.907
538.438,207.007
538.442,207.107
538.445,207.207
538.448,207.306
538.451,207.406
538.454,207.506
538.457,207.606
538.46,207.706
538.463,207.806
538.465,207.906
538.468,208.006
538.47,208.106
538.473,208.206
538.476,208.306
538.479,208.406
538.482,208.506
538.485,208.606
538.488,208.706
538.491,208.806
538.494,208.906
538.497,209.006
538.5,209.106
538.503,209.206
538.506,209.306
538.508,209.406
538.511,209.506
538.513,209.606
538.516,209.706
538.519,209.805
538.521,209.905
538.524,210.005
538.527,210.105
538.53,210.205
538.533,210.305
538.536,210.405
538.539,210.505
538.542,210.605
538.545,210.705
538.547,210.805
538.55,210.905
538.553,211.005
538.555,211.105
538.558,211.205
538.56,211.305
538.563,211.405
538.566,211.505
538.569,211.605
538.572,211.705
538.575,211.805
538.578,211.905
538.582,212.005
538.585,212.105
538.588,212.204
538.591,212.304
538.594,212.404
538.597,212.504
538.6,212.604
538.602,212.704
538.605,212.804
538.607,212.904
538.61,213.004
538.613,213.104
538.616,213.204
538.619,213.304
538.622,213.404
538.625,213.504
538.628,213.604
538.631,213.704
538.634,213.804
538.637,213.904
538.639,214.004
538.642,214.104
538.645,214.204
538.647,214.304
538.649,214.404
538.651,214.504
538.653,214.604
538.655,214.704
538.657,214.804
538.659,214.904
538.661,215.004
538.664,215.103
538.667,215.203
538.67,215.303
538.673,215.403
538.676,215.503
538.679,215.603
538.682,215.703
538.685,215.803
538.687,215.903
538.69,216.003
538.692,216.103
538.694,216.203
538.696,216.303
538.698,216.403
538.699,216.503
538.701,216.603
538.702,216.703
538.704,216.803
538.706,216.903
538.708,217.003
538.71,217.103
538.712,217.203
538.715,217.303
538.718,217.403
525.343,169.943
525.243,169.946
525.143,169.949
525.043,169.951
524.943,169.954
524.843,169.957
524.743,169.96
524.643,169.963
524.543,169.966
524.443,169.969
524.343,169.972
524.243,169.974
524.143,169.977
524.043,169.98
523.943,169.983
523.843,169.986
523.743,169.988
523.643,169.991
523.543,169.994
523.443,169.997
523.344,169.999
523.244,170.002
523.144,170.005
523.044,170.007
522.944,170.01
522.844,170.013
522.744,170.015
522.644,170.018
522.544,170.021
522.444,170.023
522.344,170.026
522.244,170.029
522.144,170.031
522.044,170.034
521.944,170.037
521.844,170.04
521.744,170.042
521.644,170.045
521.544,170.048
521.444,170.051
521.344,170.054
