nid,nx,ny
00,-7.69832425691547,3.77355036301269
01,-11.2925809943602,-3.37356923199426
02,-14.9542421600289,-10.7656935452939
03,-18.477599559527,-17.8364751594723
04,-21.8310696387178,-24.9188063168139
10,-14.9542103113811,6.99217369230536
11,-18.5821709025196,-0.221952634987297
12,-22.175564273914,-7.25740031643721
13,-25.7496235501843,-14.4282272535878
14,-29.1587438128036,-21.5547901723446
20,-22.3870633005163,10.3217904975267
21,-25.7961723497202,3.19522221464078
22,-29.4323284057854,-4.03944484185627
23,-32.8442452392378,-11.35257425605
24,-36.3680429256942,-18.5346944071561
